InvcNum,DueDate,ShipToName
12747,11/16/2017,FH/Circle K # 2726109 Callahan FL
12748,11/30/2017,"FH/Circle K/Shell #272655 Geneva,FL"
12750,11/6/2017,FH/Circle K # 2721266 Kissimmee
12886,11/28/2017,Icon Identity Solutions / Quest Diagnostics
12916-1,11/6/2017,Federal Heath / Sonny's BBQ
12931,11/8/2017,Church @ The Spring
12934,10/27/2017,Philadelphia Sign
12936,10/17/2017,Hampton Inn
12939,11/2/2017,Park Point Medical Plaza
12940,10/30/2017,Talbots #1241
12941,10/25/2017,RMC Property Group/Ocala Center
12944,10/25/2017,"Advantage Green Lawn & Pest Control, Inc."
